#               time [ns]           Re(ampl) [MHz]
  1.05177588794397217E+01  6.79380841881439039E+01
  1.05427713856928467E+01  6.83235137980771441E+01
  1.05677838919459735E+01  6.87101402031537134E+01
  1.05927963981991002E+01  6.90979616832648418E+01
  1.06178089044522270E+01  6.94869764816350255E+01
  1.06428214107053538E+01  6.98771828047575951E+01
  1.06678339169584806E+01  7.02685788223312500E+01
  1.06928464232116074E+01  7.06611626671984396E+01
  1.07178589294647324E+01  7.10549324352842575E+01
  1.07428714357178592E+01  7.14498861855378777E+01
  1.07678839419709860E+01  7.18460219398740776E+01
  1.07928964482241128E+01  7.22433376831172041E+01
  1.08179089544772395E+01  7.26418313629458510E+01
  1.08429214607303663E+01  7.30415008898392273E+01
  1.08679339669834931E+01  7.34423441370246621E+01
  1.08929464732366199E+01  7.38443589404266731E+01
  1.09179589794897467E+01  7.42475430986175695E+01
  1.09429714857428717E+01  7.46518943727688224E+01
  1.09679839919959985E+01  7.50574104866047094E+01
  1.09929964982491253E+01  7.54640891263566687E+01
  1.10180090045022521E+01  7.58719279407191607E+01
  1.10430215107553789E+01  7.62809245408071774E+01
  1.10680340170085056E+01  7.66910765001151447E+01
  1.10930465232616324E+01  7.71023813544767904E+01
  1.11180590295147574E+01  7.75148366020270743E+01
  1.11430715357678842E+01  7.79284397031649689E+01
  1.11680840420210110E+01  7.83431880805179901E+01
  1.11930965482741378E+01  7.87590791189079056E+01
  1.12181090545272646E+01  7.91761101653182209E+01
  1.12431215607803914E+01  7.95942785288625316E+01
  1.12681340670335182E+01  8.00135814807550076E+01
  1.12931465732866450E+01  8.04340162542816870E+01
  1.13181590795397717E+01  8.08555800447734612E+01
  1.13431715857928967E+01  8.12782700095804955E+01
  1.13681840920460235E+01  8.17020832680481703E+01
  1.13931965982991503E+01  8.21270169014941587E+01
  1.14182091045522771E+01  8.25530679531873091E+01
  1.14432216108054039E+01  8.29802334283277219E+01
  1.14682341170585307E+01  8.34085102940283747E+01
  1.14932466233116575E+01  8.38378954792980693E+01
  1.15182591295647825E+01  8.42683858750260271E+01
  1.15432716358179093E+01  8.46999783339679055E+01
  1.15682841420710361E+01  8.51326696707330370E+01
  1.15932966483241628E+01  8.55664566617732021E+01
  1.16183091545772896E+01  8.60013360453734066E+01
  1.16433216608304164E+01  8.64373045216429574E+01
  1.16683341670835432E+01  8.68743587525092380E+01
  1.16933466733366700E+01  8.73124953617121093E+01
  1.17183591795897968E+01  8.77517109348001441E+01
  1.17433716858429218E+01  8.81920020191282532E+01
  1.17683841920960486E+01  8.86333651238568478E+01
  1.17933966983491754E+01  8.90757967199520380E+01
  1.18184092046023022E+01  8.95192932401879773E+01
  1.18434217108554289E+01  8.99638510791503307E+01
  1.18684342171085557E+01  9.04094665932408930E+01
  1.18934467233616825E+01  9.08561361006845800E+01
  1.19184592296148075E+01  9.13038558815366628E+01
  1.19434717358679343E+01  9.17526221776927855E+01
  1.19684842421210611E+01  9.22024311928991978E+01
  1.19934967483741879E+01  9.26532790927656009E+01
  1.20185092546273147E+01  9.31051620047784922E+01
  1.20435217608804415E+01  9.35580760183167826E+01
  1.20685342671335682E+01  9.40120171846684798E+01
  1.20935467733866950E+01  9.44669815170487510E+01
  1.21185592796398218E+01  9.49229649906197608E+01
  1.21435717858929468E+01  9.53799635425118453E+01
  1.21685842921460736E+01  9.58379730718463065E+01
  1.21935967983992004E+01  9.62969894397592014E+01
  1.22186093046523272E+01  9.67570084694274755E+01
  1.22436218109054540E+01  9.72180259460957075E+01
  1.22686343171585808E+01  9.76800376171047589E+01
  1.22936468234117076E+01  9.81430391919220426E+01
  1.23186593296648326E+01  9.86070263421728441E+01
  1.23436718359179594E+01  9.90719947016735603E+01
  1.23686843421710861E+01  9.95379398664662602E+01
  1.23936968484242129E+01  1.00004857394854383E+02
  1.24187093546773397E+01  1.00472742807440625E+02
  1.24437218609304665E+01  1.00941591587165604E+02
  1.24687343671835933E+01  1.01411399179348578E+02
  1.24937468734367201E+01  1.01882160991729094E+02
  1.25187593796898469E+01  1.02353872394510901E+02
  1.25437718859429719E+01  1.02826528720406145E+02
  1.25687843921960987E+01  1.03300125264682521E+02
  1.25937968984492255E+01  1.03774657285210495E+02
  1.26188094047023522E+01  1.04250120002513114E+02
  1.26438219109554790E+01  1.04726508599816498E+02
  1.26688344172086058E+01  1.05203818223102502E+02
  1.26938469234617326E+01  1.05682043981162082E+02
  1.27188594297148576E+01  1.06161180945650955E+02
  1.27438719359679844E+01  1.06641224151146076E+02
  1.27688844422211112E+01  1.07122168595204016E+02
  1.27938969484742380E+01  1.07604009238420389E+02
  1.28189094547273648E+01  1.08086741004491515E+02
  1.28439219609804915E+01  1.08570358780276507E+02
  1.28689344672336183E+01  1.09054857415861647E+02
  1.28939469734867451E+01  1.09540231724626082E+02
  1.29189594797398719E+01  1.10026476483308528E+02
  1.29439719859929969E+01  1.10513586432076167E+02
  1.29689844922461237E+01  1.11001556274594392E+02
  1.29939969984992505E+01  1.11490380678098390E+02
  1.30190095047523773E+01  1.11980054273465839E+02
  1.30440220110055041E+01  1.12470571655291579E+02
  1.30690345172586309E+01  1.12961927381963179E+02
  1.30940470235117576E+01  1.13454115975738418E+02
  1.31190595297648827E+01  1.13947131922823957E+02
  1.31440720360180094E+01  1.14440969673455683E+02
  1.31690845422711362E+01  1.14935623641980015E+02
  1.31940970485242630E+01  1.15431088206937503E+02
  1.32191095547773898E+01  1.15927357711146939E+02
  1.32441220610305166E+01  1.16424426461791654E+02
  1.32691345672836434E+01  1.16922288730506992E+02
  1.32941470735367702E+01  1.17420938753469017E+02
  1.33191595797898970E+01  1.17920370731484979E+02
  1.33441720860430220E+01  1.18420578830084978E+02
  1.33691845922961488E+01  1.18921557179615547E+02
  1.33941970985492755E+01  1.19423299875333811E+02
  1.34192096048024023E+01  1.19925800977503840E+02
  1.34442221110555291E+01  1.20429054511494300E+02
  1.34692346173086559E+01  1.20933054467877085E+02
  1.34942471235617827E+01  1.21437794802527819E+02
  1.35192596298149077E+01  1.21943269436727746E+02
  1.35442721360680345E+01  1.22449472257266962E+02
  1.35692846423211613E+01  1.22956397116548729E+02
  1.35942971485742881E+01  1.23464037832695993E+02
  1.36193096548274148E+01  1.23972388189658417E+02
  1.36443221610805416E+01  1.24481441937321435E+02
  1.36693346673336684E+01  1.24991192791616655E+02
  1.36943471735867952E+01  1.25501634434633146E+02
  1.37193596798399220E+01  1.26012760514731085E+02
  1.37443721860930470E+01  1.26524564646655492E+02
  1.37693846923461738E+01  1.27037040411652939E+02
  1.37943971985993006E+01  1.27550181357587988E+02
  1.38194097048524274E+01  1.28063980999062409E+02
  1.38444222111055542E+01  1.28578432817534946E+02
  1.38694347173586809E+01  1.29093530261442709E+02
  1.38944472236118077E+01  1.29609266746324124E+02
  1.39194597298649327E+01  1.30125635654942954E+02
  1.39444722361180595E+01  1.30642630337413749E+02
