#               time [ns]                      <n>
   2.4012006003001503E+00   1.7772196279646038E-05
   2.4262131065532770E+00   1.8630075387962372E-05
   2.4512256128064034E+00   1.9515024418718704E-05
   2.4762381190595302E+00   2.0427324325376461E-05
   2.5012506253126565E+00   2.1367246543681816E-05
   2.5262631315657829E+00   2.2335053654485892E-05
   2.5512756378189096E+00   2.3331000131209148E-05
   2.5762881440720360E+00   2.4355333171830944E-05
   2.6013006503251628E+00   2.5408293614991734E-05
   2.6263131565782891E+00   2.6490116939497343E-05
   2.6513256628314159E+00   2.7601034346214778E-05
   2.6763381690845423E+00   2.8741273921046444E-05
   2.7013506753376690E+00   2.9911061877365958E-05
   2.7263631815907954E+00   3.1110623875995615E-05
   2.7513756878439222E+00   3.2340186420502935E-05
   2.7763881940970485E+00   3.3599978325292632E-05
   2.8014007003501753E+00   3.4890232253674266E-05
   2.8264132066033016E+00   3.6211186322790898E-05
   2.8514257128564284E+00   3.7563085772006901E-05
   2.8764382191095548E+00   3.8946184691070329E-05
   2.9014507253626816E+00   4.0360747804091023E-05
   2.9264632316158083E+00   4.1807052305107458E-05
   2.9514757378689347E+00   4.3285389740759566E-05
   2.9764882441220615E+00   4.4796067935335671E-05
   3.0015007503751878E+00   4.6339412953226401E-05
   3.0265132566283146E+00   4.7915771093593367E-05
   3.0515257628814410E+00   4.9525510911850435E-05
   3.0765382691345677E+00   5.1169025262355973E-05
   3.1015507753876941E+00   5.2846733356534362E-05
   3.1265632816408209E+00   5.4559082830475325E-05
   3.1515757878939472E+00   5.6306551815910971E-05
   3.1765882941470736E+00   5.8089651008335719E-05
   3.2016008004002003E+00   5.9908925725918288E-05
   3.2266133066533267E+00   6.1764957952758039E-05
   3.2516258129064539E+00   6.3658368359958658E-05
   3.2766383191595803E+00   6.5589818297934091E-05
   3.3016508254127070E+00   6.7560011753321905E-05
   3.3266633316658334E+00   6.9569697263861636E-05
   3.3516758379189602E+00   7.1619669784597637E-05
   3.3766883441720865E+00   7.3710772498789502E-05
   3.4017008504252129E+00   7.5843898566959052E-05
   3.4267133566783397E+00   7.8019992807568659E-05
   3.4517258629314660E+00   8.0240053302914699E-05
   3.4767383691845928E+00   8.2505132923929700E-05
   3.5017508754377191E+00   8.4816340767720583E-05
   3.5267633816908459E+00   8.7174843501820450E-05
   3.5517758879439723E+00   8.9581866609312179E-05
   3.5767883941970990E+00   9.2038695529173984E-05
   3.6018009004502254E+00   9.4546676686417457E-05
   3.6268134067033522E+00   9.7107218406827241E-05
   3.6518259129564785E+00   9.9721791711369887E-05
   3.6768384192096053E+00   1.0239193098561746E-04
   3.7018509254627316E+00   1.0511923451983219E-04
   3.7268634317158584E+00   1.0790536491567131E-04
   3.7518759379689848E+00   1.1075204935580945E-04
   3.7768884442221116E+00   1.1366107973312647E-04
   3.8019009504752379E+00   1.1663431263647450E-04
   3.8269134567283642E+00   1.1967366919042713E-04
   3.8519259629814910E+00   1.2278113474680665E-04
   3.8769384692346174E+00   1.2595875842619914E-04
   3.9019509754877442E+00   1.2920865250809282E-04
   3.9269634817408705E+00   1.3253299166870989E-04
   3.9519759879939973E+00   1.3593401206604536E-04
   3.9769884942471236E+00   1.3941401027208776E-04
   4.0020010005002504E+00   1.4297534205265312E-04
   4.0270135067533772E+00   1.4662042099573640E-04
   4.0520260130065031E+00   1.5035171698975903E-04
   4.0770385192596299E+00   1.5417175455356783E-04
   4.1020510255127567E+00   1.5808311102052418E-04
   4.1270635317658835E+00   1.6208841457950089E-04
   4.1520760380190094E+00   1.6619034217608944E-04
   4.1770885442721362E+00   1.7039161727779601E-04
   4.2021010505252629E+00   1.7469500750748389E-04
   4.2271135567783888E+00   1.7910332214979088E-04
   4.2521260630315156E+00   1.8361940953571314E-04
   4.2771385692846424E+00   1.8824615431100805E-04
   4.3021510755377692E+00   1.9298647459451259E-04
   4.3271635817908951E+00   1.9784331903291473E-04
   4.3521760880440219E+00   2.0281966375893873E-04
